names,dates,comments,inferred_gender
Reviewer_1,2025-04-21 23:55:00,"A croissant should be nice and crispy, cut it open as soon as it comes out of the oven, and spread the new AH Terra Pistachio paste in it, optionally with or without butter and/or press it in a waffle iron!",male
Reviewer_2,2025-04-21 23:52:00,A nice warm freshly baked croissant with jam & cheese. Jam for the sweetness & the cheese for the savouryness  ,female
Reviewer_3,2025-04-21 22:56:00,"My ultimate croissant topping? A layer of lemon cream, fresh strawberries cut into heart shapes on top, and a cloud of lavender honey as a finishing touch. This is how it smells and tastes like spring on a French terrace. So delicious that you would even want to keep the crumbs!",female
Reviewer_4,2025-04-21 22:09:00,a delicious croissant with feta and rocket,male
Reviewer_5,2025-04-21 22:01:00,"A home-baked croissant is the tastiest. Before you roll up the croissant completely, it is delicious to put the ah paashagel on it. Then the chocolate sprinkles can melt nicely in the oven, and you still have the special easter bunnies (from the ah paashagel) on your croissant to make it festive.",female
Reviewer_6,2025-04-21 21:44:00,The tastiest topping for a croissant for me is with a piece of ham and cheese with a layer of butter...uhhhhh yummy,unknown
Reviewer_7,2025-04-21 21:18:00,A croissant is more than just a snack – you can really do anything with it!,female
Reviewer_8,2025-04-21 19:03:00,Nothing beats a delicious croissant with sausage! I enjoy it every time,male
Reviewer_9,2025-04-21 18:59:00,"I prefer to eat a croissant with pandan cream, easy to prepare and also tasty",female
Reviewer_10,2025-04-21 16:49:00,Preferably topped with ham and cheese and then briefly in the oven or under the sandwich maker. Very tasty.,male
Reviewer_11,2025-04-21 16:22:00,"This weekend with Easter made delicious croissants with pastry cream, fresh strawberries and fresh whipped cream, finished with powdered sugar! It was a great success!",female
Reviewer_12,2025-04-21 15:36:00,"Yesterday with the Easter brunch in a nice brasserie we got among other things Oeufs Bénédicte on a croissant with Jambon and Hollandaise sauce. That was so tasty, nice to try it yourself.....",female
Reviewer_13,2025-04-21 13:50:00,"Crossiant should always be warmed up, about 10 seconds in the microwave is enough (assuming it is on 800 w), then cut from the middle -> with pistachio cream + fresh thin pieces of strawberry is how you turn a normal bun into something five star dessert :D",unknown
Reviewer_14,2025-04-21 13:19:00,"I prefer to top my croissant with light products. For example, the hero strawberry jam zero (from the ah ofc). This way I save calories but I can still enjoy my delicious croissant. Besides working at the ah, I am often & enjoy sports. And what is nicer than being able to flop down on the XXL beanbag after sports? With my XXL nutrition shake! Greetingsss    ",female
Reviewer_15,2025-04-21 12:33:00,I top my croissant with a layer of marshmallow fluff first and a second layer of Nutella. Sweet and savory is always the perfect combination,male
Reviewer_16,2025-04-21 11:44:00,"I top my croissant with a layer of spicy hummus first, a few slices of chicken breast second layer, avocado smash third layer and some salt and pepper and finally the 4th layer: cottage cheese and some salt and pepper again. Enjoy!",unknown
Reviewer_17,2025-04-21 11:13:00,"I prefer to top a nice, greasy croissant with a nice, greasy profit share from Albert Heijn. ;)",male
Reviewer_18,2025-04-21 11:11:00,"My favorite croissant combination is with prosciutto, goat cheese, pesto, honey and pine nuts. Nice and fat just like this mega croissant. That is the best from Albert Heijn.",unknown
Reviewer_19,2025-04-21 09:42:00,"I've fortunately seen it pass by more often so I'm not the only one, but I prefer to eat it straight from the oven without anything on it, then it's the tastiest",female
Reviewer_20,2025-04-20 22:58:00,"My perfect sweet croissant? Filled with raspberry compote, a swirl of pistachio cream and topped with white chocolate flakes and powdered sugar. Like tasting a summery French pastry in one bite!”",female
Reviewer_21,2025-04-20 22:52:00,"Banana, Nutella and walnuts or pecans",female
Reviewer_22,2025-04-20 22:38:00,"Salmon with cream cheese, then I'm like a celebrity. Gives a bit of that luxury vibe... Which I am of course ;)",female
Reviewer_23,2025-04-20 21:36:00,"My sister would be super happy with this super sweet croissant for her student house. Our specialty: croissant with prosciutto, parmesan flakes, fig jam and pine nuts. The parmesan melts slightly, the prosciutto gives a salty bite and the fig jam provides a sweet-savory balance.",male
Reviewer_24,2025-04-20 21:31:00,"This weekend I proposed a fun idea for Easter breakfast to my family! I came up with the idea to top the warm croissants my mother made for us with raspberries and blackberries! I got the idea because hamsters eat that too, and I like to stock up at Albert Heijn. How convenient.",male
Reviewer_25,2025-04-20 21:16:00,"A delicious butter croissant topped with salmon and cream cheese is a delicious combination for me, at lunchtime you make me very happy with this! Then I can go for it again in the afternoon, that we have the bread department in perfect condition again. This big cuddly croissant gets a nice place with us, the kids think it's great anyway!       ",female
Reviewer_26,2025-04-20 20:52:00,"I keep it nice and simple: warm croissant, sardines in olive oil and a few drops of lemon juice. That's all you need for a next level breakfast. A real ""You have to try it to understand it"" snack",unknown
Reviewer_27,2025-04-20 20:51:00,"I like to eat my croissant with avocado, truffle mayonnaise, smoked chicken and romaine lettuce.",female
Reviewer_28,2025-04-20 19:53:00,"My favorite is a fresh croissant with ham, cheese and pineapple, preferably grilled.",female
Reviewer_29,2025-04-20 19:42:00,"for breakfast I go for a warm petit beurre croissant with cottage cheese, strawberries and melted salted caramel chocolate. if I also crave a croissant for lunch, I go for a cretzel with smoked salmon, arugula, cream cheese, sliced cucumbers and soy or teriyaki sauce on top. both extremely tasty but only when shared with others and served on a croissant shaped cutting board.",unknown
Reviewer_30,2025-04-20 19:08:00,I like to make my own croissants and I always put pieces of banana with chocolate spread in them! Really recommended!    ,male
Reviewer_31,2025-04-20 17:41:00,I usually eat it with peanut butter and chocolate sprinkles. Really recommended for anyone without money.,male
Reviewer_32,2025-04-20 17:11:00,I usually add chicken fillet and cheese (whatever we have in the fridge but preferably extra mature) with chicken spices. Then I put it on the sandwich maker,unknown
Reviewer_33,2025-04-20 16:52:00,"A lukewarm croissant with cheese, chicken fillet, egg and salt and pepper of course",male
Reviewer_34,2025-04-20 16:38:00,"I really like it when I have a warm croissant just out of the oven with a little cheese and chicken so that the cheese melts, I wait a while before eating it so that the cheese has melted properly, and to let all the stress flow away from me, it has to be warm.",female
Reviewer_35,2025-04-20 13:10:00,Jam and Nutella,male
Reviewer_36,2025-04-20 11:58:00,I like to put a little Nutella + strawberry + crystal sugar on the frozen croissini's mini croissants.,male
Reviewer_37,2025-04-19 23:29:00,"I like to spread peanut butter on my croissant, then put slices of banana on top and top it off with cinnamon. Then dip it all in the quark. This gives you a nice (and I find tasty) combination of healthy fats, proteins, fibers, vitamins and a sweet taste.",female
Reviewer_38,2025-04-19 22:31:00,"The tastiest topping on a croissant, in my opinion, is goat cheese with lavender honey and fresh blueberries. The creamy, slightly salty taste of the goat cheese combines perfectly with the floral sweetness of the honey. The blueberries provide a fresh counterpart and make the whole surprising and balanced. This combination gives the croissant a luxurious and special twist, reminiscent of the flavors of the South of France.",female
Reviewer_39,2025-04-19 21:00:00,"'Dubai chocolate spread', because it's such a trend.",male
Reviewer_40,2025-04-19 20:05:00,Pistachio cream because then it looks like I'm really following the trends,male
Reviewer_41,2025-04-19 19:07:00,salami is so tasty on it,female
Reviewer_42,2025-04-19 17:43:00,"I always dip my croissant in pumpkin soup. A strange combination perhaps, but definitely worth a try",unknown
Reviewer_43,2025-04-19 17:15:00,I don't put anything on my croissant because I want him to know that I love him just the way he is!,female
Reviewer_44,2025-04-19 17:13:00,"I top my croissant with stress, deadlines and a dash of self-pity. Tastes like studying during exam week.",female
Reviewer_45,2025-04-19 17:13:00,"Croissant with rose petal jam, white chocolate and almond shavings or croissant with brie/camembert cheese, grapes, honey and walnuts <3",female
Reviewer_46,2025-04-19 14:34:00,"The croissant with vanilla ice cream, crispy bacon and a generous drizzle of maple syrup!",male
Reviewer_47,2025-04-19 14:31:00,I like to eat my croissant with filet americano.,female
Reviewer_48,2025-04-19 14:25:00,I prefer to eat croissants with butter.,male
Reviewer_49,2025-04-19 13:25:00,"I like to eat my croissant warm with Nutella, strawberries and powdered sugar. Delicious for Easter breakfast or as a dessert!",female
Reviewer_50,2025-04-19 12:53:00,A croissant with peanut butter and crispy chili flakes!,unknown
Reviewer_51,2025-04-19 12:41:00,"A croissant from Albert Heijn is always crispy and with the most delicious pistachio filling, this flavour is brilliant for everyone.",unknown
Reviewer_52,2025-04-19 12:32:00,"I always eat my croissant with Calve peanut butter with chunks and a golden brown spreadable cheese, which I then ""dip"" it in.",female
Reviewer_53,2025-04-19 11:58:00,"An ultimate combination for a successful croissant; Roasted chicken strips, avocado and siracha mayo. For some extra spice, we'll just pop the filling in!!",unknown
Reviewer_54,2025-04-19 11:25:00,"Goat cheese, honey and pine nuts. Perfect combination.",male
Reviewer_55,2025-04-19 11:01:00,"A delicious freshly baked croissant with avocado, egg, salmon, herb cream cheese, cucumber and a little salt and pepper. DELICIOUS!",female
Reviewer_56,2025-04-19 11:01:00,With fresh strawberries on a layer of butter.,female
Reviewer_57,2025-04-19 10:49:00,"A croissant with pure strawberry jam, the two are inextricably linked for me. I do not cut the croissant lengthwise, but make a notch from above. This way the jam stays in the croissant and does not leak from all sides.",female
Reviewer_58,2025-04-19 10:41:00,"A warm, crispy croissant, generously spread with a velvety layer of mascarpone that is subtly scented with lavender — it’s like taking a bite of spring.",female
Reviewer_59,2025-04-19 10:23:00,Delicious 'just like that' with cheese,female
Reviewer_60,2025-04-19 08:05:00,"herb cream cheese, smoked salmon, cucumber and a little chives or spring onion",female
Reviewer_61,2025-04-18 22:22:00,The pistachio pasta!!,female
Reviewer_62,2025-04-18 21:45:00,"We discovered it by accident. During the maternity visit last summer we wanted to hand out rusk with mice. Then we discovered that we were 2 rusks short for the guests. We had just been to the store and got croissants for lunch. Why not, cut it in 2, a good lick of butter on it and the blue mice on top. Something we secretly still do sometimes!",male
Reviewer_63,2025-04-18 21:43:00,Hi,male
Reviewer_64,2025-04-18 21:32:00,"Best when it is still warm with jam, cheese or brie! Delicious!",female
Reviewer_65,2025-04-18 20:36:00,"On a croissant I would put some yummy guacamole, scrambled eggs with fried onions, and fried bacon specks! Best ever!",male
Reviewer_66,2025-04-18 20:33:00,I identify myself as a croissant and am looking for a partner.,unknown
Reviewer_67,2025-04-18 20:08:00,"I think they are the tastiest when they are fresh out of the oven! So still nice and warm, and then without anything in between or on top, just like that a lovely warm croissant to eat!",female
Reviewer_68,2025-04-18 18:52:00,I like it best to cut my croissant open and then put cream on it with strawberries and a little white chocolate! really delicious,female
Reviewer_69,2025-04-18 18:41:00,"I always eat my croissant like a cake, a nice cheesecake cake. I cut it open, spread cream cheese on it and then slices of strawberry! Delicious, a must!",male
Reviewer_70,2025-04-18 17:17:00,"Maybe a strange combination, but spread good green Pesto on the fresh croissant, delicious slices of mozzarella, and cheese shavings. Hmm.",female
Reviewer_71,2025-04-18 17:15:00,"My father and I used to cut open our croissants and put a fried egg in them. They were super tasty and calorie bombs, but unfortunately I don't do that very often anymore. It used to be our thing.",female
Reviewer_72,2025-04-18 17:11:00,"I am very simple. I always put cheese on my croissant, then put it under the sandwich iron. Croisti is what I call it!",male
Reviewer_73,2025-04-18 14:31:00,I always top my croissant with strawberry jam and a slice of cheese. Delicious when the croissant is fresh out of the oven,male
Reviewer_74,2025-04-18 14:26:00,"I always put chocolate sprinkles on it, goddammit that's insanely tasty, really damn a croissant with chocolate sprinkles is like an angel cumming in your mouth",male
Reviewer_75,2025-04-18 13:55:00,I love a Big Mac croissant.,unknown
Reviewer_76,2025-04-18 13:54:00,"I like to eat my croissant with butter, cheese and jam on top! sweet from the jam, salty from the cheese and then the soft crispy croissant when you bite into it delicious!",unknown
Reviewer_77,2025-04-18 13:34:00,"A tasty croissant deserves only creamy butter, it doesn't need any other toppings, because it is tasty on its own.",male
Reviewer_78,2025-04-18 13:15:00,A delicious butter croissant is the best with guava jam made by my Brazilian mother ;),female
Reviewer_79,2025-04-18 13:12:00,Chicken mango chutney and cucumber delicious!!!!,female
Reviewer_80,2025-04-18 12:35:00,A croissant with Nutella and fresh strawberries,female
Reviewer_81,2025-04-18 11:18:00,"This coming Easter I'm going to get started on a festive croissant. I'm going to fill it with a creamy lemon-mascarpone filling and mix in some of the AH Excellent Easter Egg Mix for extra crunch and a sweet touch. Then I'll finish the croissant with pastel icing and some cute sugar flowers. Add some edible gold flakes for luxury and the croissant is ready! To top it off, I'll place some small chocolate eggs around it. This will be the perfect, cheerful start to a colorful Easter!",female
Reviewer_82,2025-04-18 10:58:00,"We always make a party of croissants with the kids. We make 2 variations: They can make their own buttercream (AH baking party) and then we add a little coffee with pieces of hazelnut and white chocolate: the moccassant. The other variation is to pipe a layer of buttercream nicely, fresh or frozen raspberries on top and pieces of white chocolate over it. Hmmm!",unknown
Reviewer_83,2025-04-18 08:44:00,The tastiest is a fresh lukewarm croissant with a thick layer of butter and (fresh) strawberry jam.,female
Reviewer_84,2025-04-18 08:43:00,I prefer to eat them with Paturain,unknown
Reviewer_85,2025-04-18 08:40:00,What delicious variations I see passing by here but I prefer to eat my croissant without anything on it or with a little bit of butter! delicious because a good croissant needs nothing to be tasty :),female
Reviewer_86,2025-04-18 07:52:00,"I see a lot of reactions, but not this one. I don't really eat croissants, not even when I'm on holiday in France. But...….. Pay attention.",male
Reviewer_87,2025-04-18 07:44:00,Delicious with brie and honey. Slices of tomato and cucumber.,female
Reviewer_88,2025-04-18 06:37:00,"The tastiest topping is of course a nice pure sprinkle, but only when it is still warm, because then it melts nicely in! A chocolate roll is nothing compared to it.",unknown
Reviewer_89,2025-04-17 21:53:00,"I like to put cheese, chicken fillet and egg on it",male
Reviewer_90,2025-04-17 21:24:00,"I top my croissant with delicious herb cheese, spread thickly.",female
Reviewer_91,2025-04-17 21:13:00,"I have always been a big fan of French toast and I like to prepare my croissants like that too! Cut the croissant horizontally, dip it in a mixture of milk, egg and cinnamon and bake it briefly in a pan with butter. Then top it with mascarpone and strawberries or just a layer of sugar. The new AH Pistachio spread also goes well with it. Croissanté!",female
Reviewer_92,2025-04-17 21:09:00,Croissant wrong,male
Reviewer_93,2025-04-17 20:37:00,I love to top my croissant with nutella and fresh strawberries. Highly recommended!,female
Reviewer_94,2025-04-17 20:32:00,"Oh yummy a croissant with cottage cheese and strawberries, nice and fresh and sweet and not even that unhealthy! and if we do something yummy ""wrong"" we spread a layer of butter on it and sprinkle sugar over it!",female
Reviewer_95,2025-04-17 20:10:00,"Of course I prefer to eat a tompouce croissant or a cronaantje, but if I do top it myself, I prefer to add a layer of butter and chocolate sprinkles or delicious jam!",female
Reviewer_96,2025-04-17 19:23:00,"My ultimate croissant topping? A thick layer of whipped salted butter, followed by a swirl of passionfruit curd and as a finishing touch: crumbled caramel sea salt fudge. Soft, salty, sweet and a little sultry – just like a French spring day at its best.   ✨",male
Reviewer_97,2025-04-17 19:16:00,"We like to make a deliciously sweet croissant pastry. Prepare a bag of pastry cream with whipped cream instead of water, spray a layer of it in the croissant and then add fresh strawberries.",unknown
Reviewer_98,2025-04-17 17:09:00,Brie and honey on my croissant delicious. I take a bite and immediately start speaking French,female
Reviewer_99,2025-04-17 17:03:00,"A croissant, fresh from the oven with some Lindt chocolate. Let it melt and then enjoy",female
Reviewer_100,2025-04-17 16:52:00,"My favorite croissant is a tiramisu croissant! Cut open a luxury croissant, top with mascarpone, ladyfingers that you first dip in a mixture of coffee and caramel syrup and to finish it off sprinkle with cocoa powder.",female
Reviewer_101,2025-04-17 16:43:00,I prefer to eat it with a frikandel. Just like a frikandel roll but French style. Je mappel frinkandelcroissant,male
Reviewer_102,2025-04-17 16:27:00,"Best with smoked salmon, cream cheese and freshly cut chives (replace chives with wild garlic during the season)",male
Reviewer_103,2025-04-17 16:02:00,I have quite a few ideas to make the croissantburn even more delicious. And I really like the pretzel croissant. I would like to win this beanbag for my sweet neighbor boy Novan of 4 years. Because this boy loves croissant and cuddly toys,female
Reviewer_104,2025-04-17 15:23:00,"I enjoy my warm croissant best with a delicious layer of brie and a touch of honey. But honestly, the croissant doesn't need much, because even without topping it is already delicious!",female
Reviewer_105,2025-04-17 15:03:00,"Heat the croissant with a slice of cheese in the air fryer, then top with some cucumber slices for a deliciously fresh meal",female
Reviewer_106,2025-04-17 15:02:00,"Nothing at all, because I don't eat croissants.",male
Reviewer_107,2025-04-17 14:41:00,"Summer croissant: Fresh from the oven, thin slices of strawberry with a thin layer of vanilla custard or vanilla protein pudding. And for the real show-offs you can mix the custard with mascarpone <3",male
Reviewer_108,2025-04-17 14:22:00,"Heat it up in the oven, fill it with Brie and when it comes out of the oven, add some wild flower honey from AH, it tastes really good",male
Reviewer_109,2025-04-17 13:35:00,"I top my croissant with pesto, mozzarella and tomato and then I put it in the oven. Then I add some basil. Very tasty!!!",female
Reviewer_110,2025-04-17 13:31:00,"Butter, spread nice and thick and then white caster sugar, also nice and generous.",male
Reviewer_111,2025-04-17 13:25:00,"Fresh croissant with pastry cream and fresh strawberries, delicious!",female
Reviewer_112,2025-04-17 12:51:00,I love a croissant with brie and a little honey on top,male
Reviewer_113,2025-04-17 12:45:00,I always top my croissant with cherry jam!,female
Reviewer_114,2025-04-17 11:55:00,I prefer to top my croissants with filet american bacon mayonnaise and fried onions,male
Reviewer_115,2025-04-17 11:50:00,"My favorite, just nice and simple, topped with butter with strawberry jam and sometimes with a slice of cheese for a change. But here at home the favorite is mini-croissant with crushed mice or pure chocolate sprinkles.",female
Reviewer_116,2025-04-17 11:46:00,dark chocolate plus a little sea salt and peanuts,male
Reviewer_117,2025-04-17 11:35:00,Delicious with strawberry jam,male
Reviewer_118,2025-04-17 11:27:00,Croissant in a baguette is my go to,male
Reviewer_119,2025-04-17 11:10:00,Delicious with a slice of cheese and strawberry jam and my kids with fresh strawberries and sugar mmmmm delicious,female
Reviewer_120,2025-04-17 10:11:00,with a nice slice of cheese,female
Reviewer_121,2025-04-17 09:57:00,My daughter and I eat our croissant with butter and sugar.,female
Reviewer_122,2025-04-17 09:56:00,"On a croissant that is preferably still a little warm, top it with white chocolate spread and then some fresh raspberries.... soooo the enjoyment starts now",female
Reviewer_123,2025-04-17 09:38:00,"I prefer my croissant with Nutella, but spread it on the bottom of the croissant instead of cutting the croissant open. This keeps the shape of the croissant better.",male
Reviewer_124,2025-04-17 09:08:00,The very very best thing on a delicious lukewarm croissant is delicious AH butter with the most delicious chocolate sprinkles from AH with the Zaanse houses or the hamsters! and then eat it with the family on a lovely Sunday morning in the sun....that is.....the ultimate croissant experience :-),male
Reviewer_125,2025-04-17 07:06:00,"I prefer to have my daughter top my croissant with butter and jam, while I sit and wait lazily with my big bottom on the super croissant beanbag.",female
Reviewer_126,2025-04-16 22:38:00,"I love to top my croissant with a combination of creamy brie, fresh figs and a touch of honey. The soft texture of the brie, the sweetness of the figs and the subtle flavour of the honey create a heavenly taste experience that makes every morning special",unknown
Reviewer_127,2025-04-16 21:27:00,"Young cheese with syrup, very tasty  ",female
Reviewer_128,2025-04-16 20:41:00,Fill with homemade Swiss cream and top with fresh strawberries ;),female
Reviewer_129,2025-04-16 19:10:00,"I love a croissant with a layer of marshmallow fluff and lemon curd on top, deliciously sweet and fresh!",female
Reviewer_130,2025-04-16 18:59:00,cheese and ham,male
Reviewer_131,2025-04-16 18:21:00,Top a croissant with chili smoked cheese and a fried sunny-side-up egg with chili flakes on top.,female
Reviewer_132,2025-04-16 17:40:00,Croissant French toast with lemon curd or red fruit compote and of course a little icing sugar for the looks!,female
Reviewer_133,2025-04-16 17:27:00,"My favorite croissant topping? Lightly salted butter, thin slices of smoked salmon and a dollop of horseradish cream. Topped with some fresh dill. Fresh, creamy and a bit of luxury just what a croissant deserves :)",female
Reviewer_134,2025-04-16 17:21:00,"My ultimate croissant is topped with white chocolate spread, fresh raspberries, crackling sticks and a touch of mint. But if I want to reach my protein goal, I add peanut butter with banana and a little chia seed.",female
